1;En los exámenes me sudan las manos o siento rigidez en manos y/o brazos.;1;0
2;Pienso que el profesor/a me está observando constantemente durante el examen.;2;0
3;Al comenzar a leer el examen se me nubla la vista y no entiendo lo que leo.:1;0
4;Mientras que estoy realizando el examen, pienso que lo estoy haciendo muy mal.;2;0
5;Si llego 5 minutos tarde a un examen ya no entro, me escondo por el instituto o intento marcharme;3;0
6;Cuando un grupo de compañeros habla del examen antes de que venga el profesor me pongo más nervioso/a.;1;0
7;Para mí supone una tranquilidad o alivio cuando por cualquier razón, se aplaza un examen.;2;0
8;No consigo dormir la noche anterior a un examen.;1;0
9;Pienso que no voy a poder aprobar el examen, aunque haya estudiado.;2;0
10;Al comenzar el examen, nada más leer las preguntas, lo entrego en blanco al profesor y vuelvo a mi sitio.;3;0
11;Cuando estoy haciendo un examen el corazón me late muy deprisa.;1;0
12;ras haber realizado un examen siento que lo he hecho fatal y pienso en desaparecer o hacerme daño.;2;0
13;Me resulta difícil o imposible ingerir alimentos antes de realizar un examen.;1;0
14;Me pongo malo/a y doy excusas para no hacer un examen.;3;0
15;En las horas/momentos previos al examen siento molestias en el estómago o se me descompone y tengo que ir al baño.;1;0
16;Tardo mucho tiempo en decidirme al contestar la mayoría de las preguntas o en entregar el examen.;2;0
17;Antes de entrar al examen hablo con mucha rapidez y me muevo más de lo habitual.;1;0
18;Durante los exámenes me cuesta concentrarme y a veces me bloqueo;2;0
19;Establezco un ritual previo al examen y si no puedo cumplirlo, busco alguna excusa y no entro al examen.;3;0
20;Mientras hago un examen no puedo quedarme quieto, suelo morderme las uñas o el bolígrafo…;1;0
